name,description,url
Brunello Cucinelli,Suede ankle boots,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/08/P00883506.jpg
Balenciaga,x Crocs HardCrocs platform sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/a3/P00850831.jpg
The Row,Owen Runner suede-trimmed sneakers        ,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/e0/P00835953.jpg
Visvim,Leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0e/P00841780.jpg
Manolo Blahnik,Ellis suede loafers ,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/85/P00831165.jpg
Brunello Cucinelli,Suede lace-up boots        ,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/8d/P00883504.jpg
Brunello Cucinelli,Leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/c9/P00883502.jpg
Brunello Cucinelli,Suede hiking boots,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/de/P00883505.jpg
Brunello Cucinelli,Suede penny loafers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/e8/P00883507.jpg
Acne Studios,Ballow Soft Tumbled Tag sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/a5/P00830828.jpg
Balenciaga,Rhino leather Chelsea boots,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/aa/P00859152.jpg
Tom Ford,Suede Chelsea boots,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/8c/P00837521.jpg
Loewe,Anagram thong sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/88/P00840193.jpg
The Row,Owen Runner leather-trimmed sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/39/P00792624.jpg
Balenciaga,Nylon sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/7c/P00827587.jpg
Balenciaga,Bouncer clogs,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/01/P00843836.jpg
Valentino Garavani,VLogo Signature leather driving shoes,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/62/P00806753.jpg
Acne Studios,Leather sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/00/P00711497.jpg
Tom Ford,Jago suede and mesh sneakers,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/a9/P00817545.jpg
Balenciaga,Tourist faux leather sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/45/P00827595.jpg
Balenciaga,Tourist sandals,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/06/P00827594.jpg
Balenciaga,HD rubber mules,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/b8/P00827596.jpg
Balenciaga,Crocs™ boots,https://img.mytheresa.com/332/376/100/jpeg/catalog/product/c7/P00834803.jpg
